pws_area,source_document,requirement_text
3.1.2 (U) IC GIS Portal,STRATA_TO1_PWS.docx,"(U) The Contractor shall create, maintain, and update Government-Off-The-Shelf (GOTS) tools to extend the “out-of-the-box” ArcGIS capability to support the IC and DoD community."
3.1.2 (U) IC GIS Portal,STRATA_TO1_PWS.docx,"(U) The Contractor shall demonstrate expertise and ability to provide support and customer implementation of ArcGIS applications to include, but may not be limited to, ArcGIS Portal, ArcGIS Instant Apps, Scene Viewer, ArcGIS Dashboards, Configurable Apps, ArcGIS Enterprise Sites, ArcGIS StoryMaps, Map Viewer, ArcGIS Experience Builder, ArcGIS Web AppBuilder, ArcGIS Workforce, ArcGIS Survey 123, ArcGIS for Office, ArcGIS for SharePoint, ArcGIS Insights, and ArcGIS Earth."
3.1.2 (U) IC GIS Portal,STRATA_TO1_PWS.docx,(U) The Contractor shall provide support for Portal-to-Portal configurations and workflows.
6.2 (U) Place of Performance,STRATA_TO1_PWS.docx,(U) Place of performance shall be IAW section 8.2 of the Strata IDIQ Base PWS.
6.3 (U) Other Administrative and General Information,STRATA_TO1_PWS.docx,"(U) The Contractor shall provide telework, travel, other direct costs (ODC), security support, and Government Furnished Equipment / Information (GFE/I) management and support IAW section 8 and all sub-sections of the Strata IDIQ Base PWS."
10.2 (U) Place of Performance,Strata Base IDIQ PWS.docx,"(U) The secondary place of performance shall include NGA designated facilities such as NGA WASHINGTON Springfield, NGA ST LOUIS St."
10.2 (U) Place of Performance,Strata Base IDIQ PWS.docx,"At contract award, the Contractor shall have an accredited Secure Compartmented Information Facility (SCIF) capable of accommodating the proposed number of personnel with desks, computers, monitors, and secure phones."
10.2 (U) Place of Performance,Strata Base IDIQ PWS.docx,"The SCIF shall contain (at a minimum) the following active networks: Joint Worldwide Intelligence Communications System (JWICS), SECNet and SBU."
10.3 (U) Telework,Strata Base IDIQ PWS.docx,"(U) Telework (ad hoc) may be allowable but shall not commence until it has been approved by the CO and COR, with a copy of the approved agreement provided to the COR."
10.3 (U) Telework,Strata Base IDIQ PWS.docx,"Company telecommuting policies shall ensure that telecommuting worksites do not include public locations (such as libraries, food establishments, parks, or other public locations)."
10.3 (U) Telework,Strata Base IDIQ PWS.docx,"Contractor and/or subcontractor employees shall not telecommute on Federal holidays, other non-work days, or in the case of a pandemic or other emergency or unforeseen situation such as an epidemic, natural disaster, early closing or delayed opening of the Government, as well as a Government shutdown without the prior written approval of the CO and COR."
