pws_area,source_document,requirement_text
"PWS 10.7.36 - Cyber Incident Handling","Strata Base IDIQ PWS.docx","In the event the Contractor discovers and isolates malicious software in connection with a reported cyber incident, the Contractor shall submit the malicious software to DC3 in accordance with instructions provided by the COR."
"PWS 10.7.35 - Cyber Incident Review","Strata Base IDIQ PWS.docx","This review shall also include analyzing covered Contractor information system(s) that were part of the cyber incident, as well as other information systems on the Contractor's network(s), that may have been accessed as a result of the incident in order to identify compromised covered defense information, or that affect the Contractor's ability to provide operationally critical support."
"PWS 10.7.33 - Cyber Incident Reporting","Strata Base IDIQ PWS.docx","In the event that the Contractor discovers a cyber incident that affects a covered Contractor information system or covered defense information residing therein, or that affects the Contractor's ability to perform the requirements of the contract that are designated as operationally critical support and identified in the contract, the Contractor shall act in accordance with the incident handling requirements."
"PWS 10.7.32 - Cloud Security","Strata Base IDIQ PWS.docx","If the Contractor intends to use an external cloud service provider to store, process, or transmit any covered defense information in performance of this contract, the Contractor shall require and ensure that the cloud service provider meets security requirements equivalent to those established by the Government for the Federal Risk and Authorization Management Program (FedRAMP) Moderate baseline."
"PWS 10.7.27 - Classified System Accreditation","Strata Base IDIQ PWS.docx","Upon request, the Contractor shall provide the COR a written statement confirming accreditation compliance with the minimum information systems requirements established in the DD254."
"PWS 10.7.27 - Security Clause Flowdown","Strata Base IDIQ PWS.docx","The Contractor shall include the substance of FAR clause 52.204-21 in subcontracts under this contract, including subcontracts for the acquisition of commercial products or commercial services where the subcontractor may have federal contract information residing in or transiting through its information system."
"PWS 10.7.26 - CUI and Information Release Controls","Strata Base IDIQ PWS.docx","The prime contractor shall include DFARS clause 252.204.7012, including paragraph (m), in subcontracts or similar contractual instruments for operationally critical support or where subcontract performance will involve covered defense information."
"PWS 10.7.24 - Classified Information Handling","Strata Base IDIQ PWS.docx","The Contractor shall not access, download, print, or further disseminate any classified information outside the execution of the defined contract requirements without the guidance and written permission from the COR."
"PWS 10.7.14 - SCIF and Work Location Security","Strata Base IDIQ PWS.docx","SCIF or secure facility accreditation shall be at least the level commensurate with the level of safeguarding required by the contract DD254."
"PWS 10.7.9 - Personnel Offboarding Notification","Strata Base IDIQ PWS.docx","The Contractor shall inform NGA as soon as practicable when its employees will no longer support the contract."
